SouË·stka;ZnaËenÌ;P¯ipojenÌ;Specifikace;Typ;Funkce;Symbol;Str·nka Ë.;».skupiny;ViditelnÈ;V˝pisy zapojenÌ;V˝pisy materi·lu;Mech. p¯ÌsluöenstvÌ;V˝KON;OT·ËKY;ViditelnÈ
 (1);;;1,5mm2,blue;X2:B6/PS2:N;;sipka;3;1;Ano;Ano;Ano;;;;Ano
 (1);;;1,5mm2,G-Y;X2:C6/PS2:PE;;sipka;3;1;Ano;Ano;Ano;;;;Ano
 (1);;;1,5mm2,G-Y;X2:C5/PS1:PE;;sipka;3;1;Ano;Ano;Ano;;;;Ano
 (1);;;1,5mm2,blue;X2:B5/PS1:N;;sipka;3;1;Ano;Ano;Ano;;;;Ano
 (1);;;1,5mm2,black;X2:A7/PS1:L;;sipka;3;1;Ano;Ano;Ano;;;;Ano
 (1);;;2,5mm2,black;FU0:2/X2:A1;;sipka;2;1;Ano;Ano;Ano;;;;Ano
 (1);;;2,5mm2,brown;FU0:4/X2:A2;;sipka;2;1;Ano;Ano;Ano;;;;Ano
 (1);;;2,5mm2,blue;FI0:8/X2:B1;;sipka;2;1;Ano;Ano;Ano;;;;Ano
 (1);;;2,5mm2,blue;FI2:4/X2:B3;;sipka;2;1;Ano;Ano;Ano;;;;Ano
 (1);;;2,5mm2,blue;FU0:7/N:4;;sipka;1;1;Ano;Ano;Ano;;;;Ano
 (1);;;1,5mm2,blue;FI1:4/X2:B2;;sipka;2;1;Ano;Ano;Ano;;;;Ano
 (1);;;2,5mm2,black;FU0:2/FI0:1;;sipka;2;1;Ano;Ano;Ano;;;;Ano
 (1);;;2,5mm2,gray;FU0:6/X2:A3;;sipka;2;1;Ano;Ano;Ano;;;;Ano
 (1);;;1,5mm2,black;FI1:2/X2:A4;;sipka;2;1;Ano;Ano;Ano;;;;Ano
 (1);;;1,5mm2,black;FU3:1/X2:A7;;sipka;2;1;Ano;Ano;Ano;;;;Ano
 (1);;;2,5mm2,blue;FU0:7/N:4;;sipka;1;1;Ano;Ano;Ano;;;;Ano
 (1);;;1mm2,blue;K0:N/N:5;;sipka;1;1;Ano;Ano;Ano;;;;Ano
 (1);;;1mm2,black;TS0:2/P11:1;;sipka;1;1;Ano;Ano;Ano;;;;Ano
 (1);;;2,5mm2,black;FU0:2/FI0:1;;sipka;1;1;Ano;Ano;Ano;;;;Ano
 (1);;;2,5mm2,gray;FU0:6/FI2:1;;sipka;1;1;Ano;Ano;Ano;;;;Ano
 (1);;;1mm2,blue;P11:2/K1:A2;;sipka;1;1;Ano;Ano;Ano;;;;Ano
 (1);;;2,5mm2,blue;FU0:8/FI0:3;;sipka;1;1;Ano;Ano;Ano;;;;Ano
 (1);;;2,5mm2,brown;FU0:4/FI1:1;;sipka;1;1;Ano;Ano;Ano;;;;Ano
F0 (1);F0;1,2,3,4,5,6;EATON;PL7-4/3/B;;07-13-01_B3;1;1;Ano;Ano;Ano;;;;Ano
FI0 (1);FI0;1,2,3,4,5,6,7,8;EATON;mRB6-16/3N/B/003-A;;07-13-01_H3N;2;1;Ano;Ano;Ano;;;;Ano
FI1 (0);FI1;1,2,3,4;EATON;PFL7-10/1N/B/003-A;;07-13-01_H1N;2;0;Ano;Ano;Ano;;;;Ano
FI2 (0);FI2;1,2,3,4;EATON;PF7-25/2/003-A;;07-13-01_E2;2;0;Ano;Ano;Ano;;;;Ano
FU0 (1);FU0;1,2,3,4,5,6,7,8;EATON;PL7-20/3N/B;;07-13-01_B3N;1;1;Ano;Ano;Ano;;;;Ano
FU1 (1);FU1;1,2;10A, B, 10kV;EATON PL7-B10/1;;07-13-06_X1;2;1;Ano;Ano;Ano;;;;Ano
FU2 (1);FU2;1,2;10A, B, 10kV;EATON PL7-B10/1;;07-13-06_X1;2;1;Ano;Ano;Ano;;;;Ano
FU3 (1);FU3;1,2;10A, B, 10kV;EATON PL7-B10/1;;07-13-06_X1;2;1;Ano;Ano;Ano;;;;Ano
K1 (0);K1;A1,A2;230V, 80%/Un , 50%/Un;EATON Z-USA/230;PodpÏùov· spouöù;07-15-01_D;1;0;Ano;Ano;Ano;;;;Ano
PS1 (1);PS1;1,2,3,4,5,6,7,8;24V, 480W;TIB 480-124;;06-14-03_B3C;4;1;Ano;Ano;Ano;;;;Ano
PS2 (1);PS2;L1,FG,1,2,;MEAN WELL;WDR-60-5;;06-14-03_V;4;1;Ano;Ano;Ano;;;;Ano
PUC3-IN (0);PUC3-IN;;;X15:A2/PUC3:IN2;;sipka;10;0;Ano;Ano;Ano;;;;Ano
PUC3-IN (0);PUC3-IN;;;X15:A1/PUC3:IN1;;sipka;10;0;Ano;Ano;Ano;;;;Ano
PUC3-IN (0);PUC3-IN;;;X15:A2/PUC3:IN2;;sipka;7;0;Ano;Ano;Ano;;;;Ano
PUC3-IN (0);PUC3-IN;;;X15:A1/PUC3:IN1;;sipka;7;0;Ano;Ano;Ano;;;;Ano
S0 (0);S0;2,1,4,3,6,5,8,7;;;;07-07-04_4;1;0;Ano;Ano;Ano;;;;Ano
TOTAL STOP (1);TOTAL STOP;1,2;SCHNEIDER ELECTRIC;XB5AS8445;;07-07-06;1;1;Ano;Ano;Ano;;;;Ano
X11 (0);X11;;;X16:A2/PUC3:IN4;;sipka;10;0;Ano;Ano;Ano;;;;Ano
X11 (0);X11;;;X16:A2/PUC3:IN4;;sipka;7;0;Ano;Ano;Ano;;;;Ano
X12 (0);X12;;;X17:A1/PUC3:IN5;;sipka;10;0;Ano;Ano;Ano;;;;Ano
X12 (0);X12;;;X17:A1/PUC3:IN5;;sipka;7;0;Ano;Ano;Ano;;;;Ano
X13 (0);X13;;;X17:A2/PUC3:IN6;;sipka;10;0;Ano;Ano;Ano;;;;Ano
X13 (0);X13;;;X17:A2/PUC3:IN6;;sipka;7;0;Ano;Ano;Ano;;;;Ano
X16 (0);X16;;;X16:A1/PUC3:IN3;;sipka;10;0;Ano;Ano;Ano;;;;Ano
X16 (0);X16;;;X16:A1/PUC3:IN3;;sipka;7;0;Ano;Ano;Ano;;;;Ano
