Souèástka;Znaèení;Pøipojení;Specifikace;Typ;Funkce;Symbol;Stránka è.;È.skupiny;Viditelné;Výpisy zapojení;Výpisy materiálu;Mech. pøíslušenství;VýKON;OTáèKY;Viditelné
 (0);;;;SC-2:1/X9:A1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:2/X9:A2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:3/X10:A1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:4/X10:A2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:5/X11:A1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:6/X11:A2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:7/X12:A1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:8/X12:A2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:9/X13:A1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:10/X13:A2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:11/X14:A1;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2:12/X14:A2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;S1 - S18: 1/X15 - X23:C1,C2^S1 - S18: 2/X15 - X23:B1,B2^S1 - S18: 3/X15 - X23:D1,D2;;sipka;6;0;Ano;Ano;Ano;;;;Ano
 (0);;;;18x PINDA (S1-S18);;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;VB1;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;VB2;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-2;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;SC-1;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC1-RS422;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC2-RS422;;sipka;7;0;Ano;Ano;Ano;;;;Ano
 (0);;;;PUC3-RS422;;sipka;7;0;Ano;Ano;Ano;;;;Ano
